#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
18.544, -3.000924214, 19.83469747, 295.7789474, 4.764, -0.735644477, 5.665524481, 293.5609991, 13.452, 1.696522306, 14.11504509, 294.1309269, 3.544, -2.695165572, -1.812846339, 293.6071761, 152, 0.182655968, 66.26314584, 293.1529774
18.788, -2.917627907, 20.38860299, 295.787135, 5.008, -0.624034721, 5.703008172, 293.5600885, 13.696, 2.321224456, 14.2692986, 294.2675721, 3.788, -2.802638104, -1.805475554, 293.6066012, 154, 0.189753041, 66.49516606, 293.1529752
19.032, -2.81591337, 20.94250852, 295.7373826, 5.252, -0.462240104, 5.721750018, 293.5596288, 13.94, 2.992552823, 14.57780563, 294.6637979, 4.032, -2.87513282, -1.790733985, 293.6054572, 156, 0.191247161, 66.95920651, 293.1529711
19.276, -2.697873613, 21.49641404, 295.6466389, 5.496, -0.24335354, 5.73112094, 293.5593981, 14.184, 3.707909034, 15.19481968, 296.1823164, 4.276, -2.911060577, -1.761250846, 293.6031937, 158, 0.192741282, 67.88728739, 293.1529634
19.52, -2.56560291, 22.05031956, 295.5336038, 5.74, 0.039151533, 5.737637558, 293.5592373, 14.428, 4.46412954, 15.81183373, 298.9359249, 4.52, -2.909688927, -1.702284568, 293.5987755, 160, 0.188819215, 68.0032975, 293.1529624
19.764, -2.42097905, 22.60422508, 295.4166918, 5.984, 0.391388286, 5.742528602, 293.5591165, 14.672, 5.257551076, 16.42884778, 303.2610681, 4.764, -2.871081187, -1.584352011, 293.5904495, 162, 0.179107432, 68.01779876, 293.1529623
20.008, -2.265797072, 22.88117785, 295.3621912, 6.228, 0.818760785, 5.747419646, 293.5589956, 14.916, 6.084010723, 17.04586183, 309.4082347, 5.008, -2.796128455, -1.522096841, 293.5862178, 164, 0.16360593, 68.03230003, 293.1529622
20.252, -2.101643101, 23.00014427, 295.3398076, 6.472, 1.325953428, 5.75231069, 293.5588746, 15.16, 6.938993579, 17.80847126, 320.9485091, 5.252, -2.686431474, -1.471401237, 293.5828758, 166, 0.143435303, 68.06130255, 293.152962
20.496, -1.929905059, 23.06477277, 295.3279799, 6.716, 1.916620107, 5.762092777, 293.5586327, 15.404, 7.817622963, 18.57108069, 334.9899568, 5.496, -2.54422441, -1.370010029, 293.576602, 168, 0.130922043, 68.11930761, 293.1529615
20.74, -1.751843269, 23.12293842, 295.3176081, 6.96, 2.5934147, 5.781656953, 293.5581502, 15.648, 8.714782405, 19.33369012, 350.9962231, 5.74, -2.372335671, -1.295513931, 293.5722602, 170, 0.119902903, 68.23531772, 293.1529606
20.984, -1.568515406, 23.23926972, 295.298094, 7.204, 3.35775805, 5.820785304, 293.5572049, 15.892, 9.625220992, 20.09629956, 367.9750497, 5.984, -2.174032128, -1.221017834, 293.5681554, 172, 0.110377885, 68.46733794, 293.1529588
21.228, -1.380910857, 23.34396789, 295.2815881, 7.448, 4.209783882, 5.899042005, 293.5555034, 16.136, 10.54359544, 21.62151842, 403.3244474, 6.228, -1.952876117, -1.146521736, 293.5642765, 174, 0.102160221, 68.93137838, 293.1529554
21.472, -1.189909726, 23.44866605, 295.2661563, 7.692, 5.148255892, 5.958457254, 293.5543908, 16.38, 11.46460846, 23.14673728, 437.7043056, 6.472, -1.712595959, -1.067085244, 293.5604121, 176, 0.095623444, 69.85945926, 293.1529499
21.716, -0.996378436, 23.65806239, 295.240034, 7.936, 6.170538104, 6.003830633, 293.5536918, 16.624, 12.38307815, 24.67195615, 466.9559704, 6.716, -1.456955976, -0.987648752, 293.556785, 178, 0.107763174, 69.97546937, 293.1529492
21.96, -0.801245565, 23.84651909, 295.2204936, 8.18, 7.272492321, 6.049204012, 293.5531886, 16.868, 13.29399699, 26.19717501, 486.9095649, 6.96, -1.189647406, -0.916155909, 293.5536994, 180, 0.126066151, 70.08973943, 293.1529486
